"ID","Bezeichnung","Beschreibung","URL","NetzwerkeServices","DigitaleAnwendungen","Empfehlungen","RechercheRessourcen","KulturSammlungsgutKolonialeKontexte","NsverfolgungsbedingtEntzogenesKulturgut","KulturgutentziehungenSBZDDR","KriegsbedingtVerlagertesKulturgut","HumanRemains","SecretSacredObjects","NaturkundeNaturwissenschaft"
"JREAD3","Proveana","Proveana ist die Datenbank des Deutschen Zentrums Kulturgutverluste für die Provenienzforschung. Sie stellt insbesondere Ergebnisse der vom Zentrum geförderten Forschungsprojekte dar. Über die Website kann nach Personen, Körperschaften, Ereignissen, Sammlungen, Provenienzmerkmalen, Objekten und weiterführenden Quellen recherchiert werden. Sie enthält außerdem Schwerpunkte mit Informationen zu Themen wie „Jüdische Sammler:innen“, „Kunstfund Gurlitt“ oder „Verlustkataloge kriegsbedingt verlagerter Kulturgüter“. Proveana durchsucht auch die Inhalte der Lost Art-Datenbank und stellt außerdem Verknüpfungen zu anderen Datenbanken her. Proveana ist ein Unterstützungsangebot für die von Kulturgutentziehungen Betroffenen und ihre Nachfahr:innen, für Wissenschaftler:innen, für den Kunsthandel, die Medien und politisch Verantwortliche.","https://www.proveana.de/de/start",,"x",,"x","x","x","x","x","x","x","x"
"RC5RQ2","CCC-Portal - Sammlungsgut aus kolonialen Kontexten","Die endgültige Version des von der DDB betriebenen CCC-Portals ging im Jahr 2024 online. Es gewährt Zugang zu Sammlungsgut aus kolonialen Kontexten in deutschen Kulturerbeeinrichtungen. Die ethnologischen, naturkundlichen, historischen sowie kunst- und kulturhistorischen Gegenstände stammen aus formalen Kolonialherrschaften sowie aus Gebieten, in denen informelle koloniale Strukturen herrschten oder die unter informellem Einfluss von Kolonialmächten standen. Der Fokus liegt auf Museumssammlungen, wobei auch Bestände anderer Kultursparten im Portal veröffentlicht werden, wenn sie diesen Kriterien entsprechen. Das Angebot richtet sich vorrangig an Personen und Organisationen aus Herkunftsstaaten und -gesellschaften, Vertreter*innen diasporischer Gemeinschaften, Akteur*innen der Zivilgesellschaft und Forschenden weltweit.","https://ccc.deutsche-digitale-bibliothek.de/de",,"x",,"x","x",,,,,"x","x"
"SVIYS2","Archivführer zur deutschen Kolonialzeit","Deutschlands koloniale Vergangenheit hat vielfältige Spuren in den Archiven hinterlassen. Ziel dieses Projekts ist es, diese Spuren zusammenzufassen und mit Informationen zu den Orten, Akteuren, Objekten und Ereignissen zu verknüpfen. Dieses Projekt der Fachhochschule Potsdam ist ein auf Wikidata basierendes Online-Portal, das Informationen aus verschiedenen Archiven zusammenführt. Das Tool „Deutsche Schreibmaschine“ hilft Ihnen, die deutsche Schrift zu entziffern.","https://archivfuehrer-kolonialzeit.de/ ",,"x",,"x","x",,,,,,
"BXCKBE","PAESE - Provenienzforschung in außereuropäischen Sammlungen und der Ethnologie in Niedersachsen ","Die PAESE-Verbunddatenbank versammelte von 2020 bis 2022 Objektkonvolute, die im Fokus der Forschung der am Projekt „Provenienzforschung in außereuropäischen Sammlungen und der Ethnologie in Niedersachsen“ beteiligten Institutionen standen. Seitdem die Datenbank ab 2022 vom Netzwerk Provenienzforschung in Niedersachsen weitergeführt wird, werden weitere Objektkonvolute dieser und anderer Institutionen in Niedersachsen eingespeist, die Sammlungsgut aus kolonialen Kontexten erforschen. Der Schwerpunkt liegt auf der Dokumentation der Herkunft der Objekte. Die ausgespielten Informationen bilden jeweils den aktuellen oder letzten Stand der Forschung ab und werden laufend ergänzt.","https://www.postcolonial-provenance-research.com/","x","x",,"x","x",,,,,,
"JS950W","Deutsche Digitale Bibliothek (DDB)","Gemälde, Bücher, Musikstücke, Skulpturen, Filme, Fotografien, Akten, Baudenkmäler und viele weitere Kulturobjekte: Die Deutsche Digitale Bibliothek ermöglicht Ihnen den Zugang zum digitalisierten kulturellen und wissenschaftlichen Erbe Deutschlands. Sie finden bei uns eine Sammlung unterschiedlichster Medien und Objekte, die recherchiert, angesehen und häufig auch heruntergeladen werden können. Wir sind eine Datenbank für Kulturobjekte, eine Kultursuchmaschine, in der Sie Bücher oder Volltexte, die Sie bei uns finden, vollständig lesen oder herunterladen können, sofern sie nicht mehr urheberrechtlichen Einschränkungen unterliegen. Neben Büchern und Texten finden Sie auch Archivalien, Bilder und Fotografien, Skulpturen, Musikstücke und andere Tondokumente, Filme und Noten, Gemälde, Handschriften und vieles mehr. Letztlich all das, was man auch in den deutschen Museen, Bibliotheken, Archiven und Mediatheken findet – nur eben digital und an einem zentralen Ort. Wir sind keine Online-Bibliothek, in der man z. B. aktuelle E-Books ausleihen kann.","https://www.deutsche-digitale-bibliothek.de",,"x",,"x","x","x","x","x","x","x",
"EL52VD","Cultural Objects Name Authority® Online (CONA)","CONA ist eine Implementierung von CDWA (Categories for the Description of Works of Art). Seit vielen Jahren haben Fachleute für visuelle Ressourcen und andere, die in ihren Materialien auf Kunstwerke verweisen, vorgeschlagen, das Getty Vocabulary Program eine Ressource mit eindeutigen numerischen Identifikatoren und kurzen Einträgen für Kunst und Architektur, einschließlich der Variationen von Titel- und kontextbezogenen Metadaten, zusammenzustellen. ","https://www.getty.edu/research/tools/vocabularies/cona/","x","x",,"x","x","x","x","x","x","x",
"TJZBER","Nomisma","Nomisma.org ist ein internationales kollaboratives Projekt, das nach den Grundsätzen von Linked Open Data (LOD) stabile digitale Datensätze numismatischer Konzepte in Form von URIs definiert mit verlinkt und der Community zur Weiternutzung bereitstellt (CC-BY). Es wird laufend erweitert. In verschiedenen Arbeitsgruppen (Griechen, Römer, Roman Provincials, Eisenzeit, Mittelalter & Neuzeit Europa, Medaillen, Ikonografie und Hortfunde) werden Desiderate festgelegt und entsprechende Datensätze erstellt. nomisma-URIs dienen als Bausteine und Datenaustauschformate für zahlreiche typologische Portale und Katalogprojekte. Bei den Personendaten besteht kein provenienzgeschichtlicher Fokus, z.B. über Sammler oder Vorbesitzende","https://nomisma.org/",,"x",,,"x","x","x","x",,,
"GVN0JQ","Normdatenportal des Münzkabinetts, Staatliche Museen zu Berlin","Das Portal definiert und verwaltet vielfältige Konzepte, die mit Münzen und Medaillen in Verbindung stehen (de/en); dazu gehören u.a. Personen, die an der Konzeption oder Herstellung beteiligt waren, sowie Personen und Körperschaften, in deren Besitz sich numismatische Objekte befunden haben.
Das Normdatenportal des Münzkabinetts Berlin (NDP) ist mit einer Schnittstelle ausgestattet, die ein Auslesen der für die Dokumentation numismatischer Objekte benötigten Konzepte, Definitionen und Linked Open Data ermöglicht. Die Einträge sind mit weiteren numismatischen (nomisma.org), geografischen (geonames u.a.) oder Personen-Normdaten (GND, VIAF) verlinkt, seit 10/2024 sind die NDP-IDs auch bei Wikidata gelistet und werden in unregelmäßigen Abständen zu DANTE (dante.gbv.de) ausgespielt.","https://ikmk.smb.museum/ndp",,"x",,,,"x","x",,,,
"FXUH5B","Propylaeum-VITAE: Akteure - Netzwerke - Praktiken","Propylaeum-VITAE ist eine Open-Access-Datenbank mit biographischen Informationen zu Persönlichkeiten, die durch ihre Leistungen in altertumswissenschaftlichen Disziplinen hervorgetreten sind. Die Datenbank ist aus einem von 2021-2024 geförderten DFG-Projekt zur gemeinsamen Erschließung archivalischer Bestände der Römisch-Germanischen Kommission (RGK) und des Leibniz-Zentrums für Archäologie (LEIZA) hervorgegangen und wird durch ein Autorenteam kontinuierlich ergänzt und erweitert. Da alle hier mit biografischen Angaben verzeichneten Personen und Institutionen auch eine GND-ID haben bzw. erhalten, ist diese Quelle zur Gewinnung näherer Informationen über diese Personen nützlich und kann beispielsweise Angaben zur Sammeltätigkeit oder zur Verknüpfung mit anderen Personen und Körperschaften enthalten. Unter “Weitere Personen” werden mit diesen verbundene Personen verzeichnet, die ggf. (bislang) weniger bekannt sind und ansonsten über keine referenzierbaren Identifier verfügen. ","https://sempub.ub.uni-heidelberg.de/propylaeum_vitae/",,"x",,"x","x","x","x",,"x","x",
"Y08BPD","Museumsvokabular (Übersicht)","Hier erhalten Sie Vokabulare, die digital verfügbar sind und von ihren Verantwortlichen zur Nutzung frei bereitgestellt werden. Hier finden Sie weiter verbreitete Werkzeuge für Museen (Systematiken, Wortlisten, Thesauri, ..), die von Museumsbetreuungs-Einrichtungen erarbeitet oder empfohlen sind. Aber auch spezielle Wortlisten, für ganz bestimmte Sammlungsbereiche zugeschnitten. Die hier angebotenen Vokabulare sollen Ihnen helfen, Ihren eigenen, schon vergebenen Wortschatz für Museumsobjekte prüfen und verifizieren, Fehlendes nachschauen und ergänzen zu können. Und wenn Sie Bestände zu inventarisieren und zu verzeichnen haben, finden Sie hier (auf fachkundiger Basis entwickelte) Instrumente, die Sie in Ihre Arbeit nutzen können.  Neben den hier digital vorliegenden Vokabularen (download) verweisen wir auch auf Vokabulare, die Sie an anderer Stelle finden (extern).","http://www.museumsvokabular.de","x","x",,"x","x","x","x","x","x","x","x"
